ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
100,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3",3,5,4,4,5,4,5,4,5,5,2,1,1,0,0,0,Male,33,10,4,5,2,2,10,3,4,0.83749998,0.87916666,0.8125,0.25,0,0,0,1
101,Less than 1 Hour,2,0,1,0,0,0,0,between 300-1000 friends,2,1,5,5,1,5,4,1,4,5,1,2,1,1,0,0,1,Female,39,8,5,5,2,3,8,2,1,0.61250001,0.80416667,0.41249999,0.5,1,0,0,0
102,More than 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 3000-5000 friends,"1, 2",2,5,4,3,5,4,4,4,5,3,1,1,0,0,0,1,Female,21,10,4,1,2,3,10,1,4,0.72500002,0.8416667,0.66250002,0.25,0,0,0,1
103,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,2,1,4,4,2,5,1,1,2,1,1,1,1,0,0,0,0,Female,43,10,5,5,2,3,8,1,4,0.61250001,0.53750002,0.21250001,0,0,0,0,1
104,Between 1 Hour and 3 Hours,"1, 4, 5",1,0,0,1,1,0,between 300-1000 friends,"1, 3",2,4,4,4,5,2,4,4,4,4,3,1,0,0,0,1,Male,23,10,4,7,2,1,10,1,1,0.77499998,0.6583333,0.66250002,0.25,1,0,0,0
105,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3",3,3,3,3,3,4,4,1,1,1,1,1,0,0,0,0,Male,35,10,5,7,4,1,10,1,1,0.63749999,0.67916667,0.36250001,0,1,0,0,0
106,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,1,5,4,4,2,5,4,1,1,1,0,0,0,Female,24,10,4,5,2,2,10,1,1,0.80000001,0.80000001,0.71249998,0.25,1,0,0,0
107,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,under 300 friends,"1, 2, 3",3,4,4,2,5,4,4,4,5,4,1,1,1,0,0,0,Female,20,13,0,1,1,3,13,1,1,0.73750001,0.7791667,0.71249998,0.25,1,0,0,0
108,Between 1 Hour and 3 Hours,"5, 6",0,0,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,4,5,5,5,5,5,4,4,2,1,1,1,0,0,Male,21,10,4,4,2,3,10,1,1,0.94999999,0.85000002,0.71249998,0.5,1,0,0,0
109,More than 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 300-1000 friends,"2, 3",2,5,5,5,5,5,5,5,5,5,1,1,0,0,0,1,Female,24,9,4,1,2,4,9,3,1,0.875,0.95833331,0.8125,0.25,1,0,0,0
110,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 300-1000 friends,"2, 3, 4",3,4,3,3,5,5,3,3,4,3,1,1,1,0,1,1,Female,23,8,4,1,1,4,8,3,1,0.73750001,0.84583336,0.5625,0.75,1,0,0,0
111,Less than 1 Hour,1,1,0,0,0,0,0,under 300 friends,4,1,5,5,1,3,1,5,5,5,5,2,1,0,0,0,0,Male,46,10,3,7,1,3,10,1,1,0.51249999,0.57083333,0.8125,0,1,0,0,0
112,More than 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,under 300 friends,"2, 3, 4",3,1,4,3,5,3,4,4,4,1,1,1,1,0,0,0,Female,27,10,4,5,2,1,10,1,1,0.78750002,0.5291667,0.51249999,0.25,1,0,0,0
113,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,1,1,4,4,3,3,5,5,5,5,5,1,1,1,0,1,0,Female,24,10,4,4,2,1,13,1,1,0.5625,0.78750002,0.8125,0.5,1,0,0,0
114,Between 1 Hour and 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 3000-5000 friends,"1, 2, 4",3,3,5,4,4,4,4,4,3,3,3,1,1,0,0,1,Female,24,9,4,5,2,4,9,3,1,0.83749998,0.74583334,0.5625,0.5,1,0,0,0
115,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,2,1,4,4,2,5,5,5,5,5,4,2,1,1,0,0,0,Female,23,10,4,5,2,1,10,1,1,0.61250001,0.80416667,0.76249999,0.25,1,0,0,0
116,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,1,4,5,2,4,4,4,1,1,0,0,0,0,Male,31,9,5,5,2,2,10,1,2,0.75,0.91666669,0.5625,0,0,1,0,0
117,Between 1 Hour and 3 Hours,"2, 6",0,1,0,0,0,1,between 3000-5000 friends,"1, 2, 3",3,2,5,4,5,5,5,1,4,1,1,1,1,0,0,0,Female,23,10,4,4,2,1,13,1,1,0.88749999,0.76249999,0.5625,0.25,1,0,0,0
118,More than 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 1000-3000 friends,"2, 3",2,3,3,2,2,5,4,1,4,1,2,1,0,0,0,0,Male,17,12,0,1,1,3,12,1,4,0.47499999,0.69166666,0.51249999,0,0,0,0,1
119,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,3,1,4,4,3,1,4,5,1,1,1,0,0,0,Female,20,7,0,1,1,3,10,1,1,0.64999998,0.81666666,0.66250002,0.25,1,0,0,0
120,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 2, 3, 4",4,5,4,2,5,1,1,3,3,2,1,1,1,0,0,0,Female,22,10,4,1,1,1,10,1,1,0.80000001,0.66666669,0.36250001,0.25,1,0,0,0
121,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 3000-5000 friends,"2, 3, 4",3,5,4,3,4,5,5,3,4,4,2,1,0,0,0,1,Female,24,9,0,1,2,3,9,1,1,0.73750001,0.91250002,0.71249998,0.25,1,0,0,0
122,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"1, 2",2,3,4,2,3,4,4,3,4,3,1,1,1,0,0,1,Female,24,14,4,4,2,1,13,1,1,0.57499999,0.6583333,0.61250001,0.5,1,0,0,0
123,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,3,5,5,5,4,5,5,1,1,0,1,1,1,Female,27,9,5,5,2,3,9,1,1,0.85000002,0.88333333,0.8125,0.75,1,0,0,0
124,Between 1 Hour and 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"2, 3, 4",3,3,5,2,5,4,5,3,4,2,1,1,1,0,0,0,Female,22,10,4,1,2,2,10,1,1,0.78750002,0.72916669,0.61250001,0.25,1,0,0,0
125,More than 3 Hours,"2, 3, 4, 5",0,1,1,1,1,0,between 1000-3000 friends,2,1,3,3,3,5,4,2,3,4,5,3,1,1,1,0,1,Female,20,8,0,1,1,1,10,1,1,0.61250001,0.67083335,0.61250001,0.75,1,0,0,0
126,Between 1 Hour and 3 Hours,4,0,0,0,1,0,0,between 300-1000 friends,1,1,5,5,1,5,4,5,4,2,4,2,1,1,0,0,0,Male,27,8,5,5,2,3,8,1,1,0.61250001,0.80416667,0.61250001,0.25,1,0,0,0
127,More than 3 Hours,5,0,0,0,0,1,0,under 300 friends,2,1,4,1,4,5,4,5,1,4,1,2,1,0,0,0,1,Female,30,13,4,4,2,1,13,3,1,0.5625,0.72083336,0.5625,0.25,1,0,0,0
128,Between 1 Hour and 3 Hours,"1, 4, 6",1,0,0,1,0,1,between 300-1000 friends,3,1,3,4,4,4,5,5,3,5,3,1,1,1,0,0,1,Female,22,1,0,1,1,3,10,1,1,0.66250002,0.75416666,0.71249998,0.5,1,0,0,0
129,Between 1 Hour and 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,2,1,3,4,3,2,3,4,4,4,4,2,1,1,0,0,1,Male,24,10,5,3,1,4,10,3,1,0.51249999,0.57083333,0.66250002,0.5,1,0,0,0
130,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 300-1000 friends,2,1,3,4,2,2,4,4,3,4,3,1,1,1,0,0,0,Female,24,11,4,4,2,3,11,1,1,0.46250001,0.62083334,0.61250001,0.25,1,0,0,0
131,More than 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,2,5,5,5,4,5,3,1,1,1,0,0,0,Female,23,7,4,5,2,1,13,1,1,0.85000002,0.94999999,0.71249998,0.25,1,0,0,0
132,More than 3 Hours,"2, 4",0,1,0,1,0,0,between 1000-3000 friends,"1, 3",2,2,3,3,5,4,3,2,3,3,2,1,0,0,0,0,Female,20,13,0,1,1,1,13,1,1,0.67500001,0.625,0.51249999,0,1,0,0,0
133,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 300-1000 friends,"1, 4",2,5,5,4,4,5,5,3,4,4,1,1,1,0,0,0,Female,22,9,3,1,1,4,9,3,1,0.77499998,0.92500001,0.71249998,0.25,1,0,0,0
134,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,3,5,2,5,4,5,4,1,1,1,0,0,1,Female,40,14,5,7,3,3,14,1,1,0.89999998,0.76666665,0.76249999,0.5,1,0,0,0
135,More than 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,under 300 friends,"1, 2",2,5,5,4,5,5,4,3,5,4,2,1,0,1,0,0,Female,24,10,4,1,1,3,10,1,1,0.82499999,0.94166666,0.71249998,0.25,1,0,0,0
136,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,4,5,1,5,5,5,4,5,4,1,1,0,0,0,0,Female,23,10,4,7,2,2,10,,1,0.80000001,0.86666667,0.76249999,0,1,0,0,0
137,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,5,1,3,4,4,3,3,1,2,1,1,0,0,0,Female,22,10,4,5,2,4,10,3,4,0.69999999,0.69999999,0.46250001,0.25,0,0,0,1
138,More than 3 Hours,"2, 3, 4",0,1,1,1,0,0,between 300-1000 friends,1,1,3,5,4,4,3,4,1,3,3,2,1,1,0,0,1,Female,24,10,4,7,2,1,10,1,1,0.71249998,0.63749999,0.5625,0.5,1,0,0,0
139,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"2, 4",2,4,3,4,4,4,5,3,3,4,1,1,0,0,0,0,Male,17,13,4,1,1,1,13,1,1,0.67500001,0.75833333,0.66250002,0,1,0,0,0
140,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"2, 3, 4",3,3,3,3,4,4,5,3,3,3,1,1,0,0,0,0,Female,20,8,3,1,1,1,13,1,1,0.6875,0.69583333,0.61250001,0,1,0,0,0
141,Less than 1 Hour,6,0,0,0,0,0,1,between 300-1000 friends,3,1,1,1,1,3,5,1,1,1,1,2,1,1,0,0,0,Male,34,13,4,4,2,1,13,1,4,0.3125,0.50416666,0.21250001,0.25,0,0,0,1
142,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,5,2,5,4,2,4,5,1,2,1,1,1,1,1,Female,45,7,4,7,2,1,10,1,1,0.85000002,0.88333333,0.46250001,1,1,0,0,0
143,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,5,5,5,5,3,4,1,1,1,0,0,0,0,Female,25,13,4,4,2,1,13,1,4,1,0.86666667,0.5625,0,0,0,0,1
144,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,5,4,1,5,1,4,5,3,5,2,1,0,0,0,1,Female,22,10,4,2,1,4,10,3,1,0.5625,0.58749998,0.66250002,0.25,1,0,0,0
145,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"2, 4",2,4,3,3,4,3,3,4,4,4,1,1,0,0,0,0,Female,35,13,6,5,2,1,13,1,1,0.625,0.67500001,0.61250001,0,1,0,0,0
146,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,3,4,3,3,2,3,3,1,1,0,0,0,0,Female,40,11,0,5,2,4,11,3,1,0.80000001,0.73333335,0.51249999,0,1,0,0,0
147,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"2, 3",2,5,5,3,5,4,3,3,4,4,1,1,1,0,0,0,Female,37,11,5,4,4,1,13,1,1,0.77499998,0.85833335,0.61250001,0.25,1,0,0,0
148,More than 3 Hours,"1, 4, 5",1,0,0,1,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,4,1,4,4,5,1,4,1,1,1,0,0,0,0,Male,24,8,4,1,1,3,10,1,1,0.69999999,0.76666665,0.5625,0,1,0,0,0
149,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,5,5,5,4,4,5,2,1,1,1,1,0,0,0,Male,32,13,5,6,2,1,10,1,4,1,0.93333334,0.41249999,0.25,0,0,0,1
150,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,1,5,4,4,4,5,4,1,1,1,1,0,0,Female,24,1,4,4,2,1,13,1,1,0.75,0.78333336,0.71249998,0.5,1,0,0,0
151,More than 3 Hours,"2, 3, 4, 5, 6",0,1,1,1,1,1,between 300-1000 friends,"2, 3, 4",3,4,5,3,4,5,4,4,3,3,1,1,1,0,0,0,Female,19,8,0,1,1,1,8,1,1,0.78750002,0.86250001,0.5625,0.25,1,0,0,0
152,Between 1 Hour and 3 Hours,"2, 6",0,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,1,3,5,3,1,3,3,1,1,0,1,1,1,Male,35,10,4,5,2,1,8,1,1,0.64999998,0.88333333,0.51249999,0.75,1,0,0,0
153,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,2,1,5,4,4,5,2,4,1,2,4,3,1,1,0,0,1,Female,26,10,5,5,2,1,10,1,1,0.71249998,0.70416665,0.5625,0.5,1,0,0,0
154,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,3,1,4,4,1,4,3,1,1,0,0,0,1,Female,27,8,4,4,2,1,13,1,1,0.69999999,0.76666665,0.61250001,0.25,1,0,0,0
155,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,4,1,3,5,3,4,4,5,2,4,1,2,1,0,0,0,1,Female,24,10,4,7,2,1,10,1,4,0.66250002,0.6875,0.5625,0.25,0,0,0,1
156,More than 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,3,1,5,1,1,5,1,5,1,1,1,2,1,1,0,0,0,Male,50,13,6,7,5,1,13,1,4,0.41249999,0.53750002,0.41249999,0.25,0,0,0,1
157,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3",3,5,4,2,5,2,2,1,4,5,1,1,1,0,0,1,Female,25,13,5,7,4,1,13,1,4,0.73750001,0.71249998,0.61250001,0.5,0,0,0,1
158,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,4,2,1,3,5,5,1,5,1,2,1,0,0,0,1,Female,24,10,4,7,5,1,10,1,1,0.55000001,0.78333336,0.61250001,0.25,1,0,0,0
159,More than 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 3000-5000 friends,"1, 2, 3, 4",4,4,4,4,4,5,5,3,3,4,1,1,1,0,0,0,Female,25,13,5,1,2,1,13,1,1,0.85000002,0.88333333,0.66250002,0.25,1,0,0,0
160,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,2,1,4,5,5,4,3,5,4,4,5,"1, 3",2,1,1,0,1,Female,24,8,4,1,2,4,8,3,1,0.76249999,0.7208333,0.82499999,0.75,1,0,0,0
161,Between 1 Hour and 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,between 1000-3000 friends,"2, 3",2,5,5,1,5,5,5,3,4,5,2,1,1,0,0,0,Female,22,10,4,1,1,1,10,1,1,0.67500001,0.89166665,0.76249999,0.25,1,0,0,0
162,More than 3 Hours,"1, 4",1,0,0,1,0,0,between 1000-3000 friends,"1, 2, 4",3,5,2,4,4,5,4,2,2,2,1,1,1,0,0,1,Female,25,8,4,5,2,4,8,3,1,0.6875,0.89583331,0.46250001,0.5,1,0,0,0
163,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 1000-3000 friends,"2, 3",2,3,4,1,4,4,5,1,1,1,2,1,0,0,0,0,Female,26,10,5,5,2,3,10,1,1,0.57499999,0.6583333,0.41249999,0,1,0,0,0
164,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"2, 3, 4",3,3,2,1,4,4,4,1,4,1,1,1,1,0,0,0,Male,20,1,0,1,1,2,9,1,4,0.53750002,0.64583331,0.51249999,0.25,0,0,0,1
165,Less than 1 Hour,2,0,1,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,2,4,2,1,1,5,1,1,3,2,1,0,0,0,0,Male,27,13,4,4,3,1,13,1,1,0.60000002,0.40000001,0.51249999,0,1,0,0,0
166,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 2, 3, 4",4,5,5,4,5,3,5,3,3,1,1,1,0,0,0,1,Female,28,13,4,4,2,1,13,1,1,0.94999999,0.85000002,0.51249999,0.25,1,0,0,0
167,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 4",2,5,5,3,5,3,4,5,5,5,3,1,1,0,0,1,Female,34,10,5,5,2,1,10,1,1,0.77499998,0.79166669,0.76249999,0.5,1,0,0,0
168,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"2, 3, 4",3,5,5,4,5,4,5,5,5,5,1,1,1,0,0,0,Male,22,10,0,1,1,1,10,1,1,0.88749999,0.89583331,0.8125,0.25,1,0,0,0
169,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 3, 4",3,3,4,2,3,3,2,4,4,3,1,1,0,0,0,0,Female,22,10,4,1,1,1,10,1,1,0.63749999,0.61250001,0.51249999,0,1,0,0,0
170,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,3,3,3,4,3,3,3,4,3,2,1,1,0,0,1,Male,22,10,4,4,2,4,10,3,1,0.5625,0.58749998,0.5625,0.5,1,0,0,0
171,Less than 1 Hour,"1, 5",1,0,0,0,1,0,between 300-1000 friends,3,1,5,4,3,5,3,3,3,4,3,2,1,0,0,0,0,Male,35,13,2,3,1,1,13,1,1,0.66250002,0.75416666,0.5625,0,1,0,0,0
172,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1,5,2,2,4,4,1,1,1,2,1,0,0,0,0,Male,35,10,4,7,4,1,10,1,1,0.69999999,0.56666666,0.36250001,0,1,0,0,0
173,Between 1 Hour and 3 Hours,"1, 4",1,0,0,1,0,0,between 300-1000 friends,"1, 2",2,3,5,1,3,3,4,1,3,3,2,1,0,0,0,0,Female,24,12,4,5,2,3,12,1,4,0.57499999,0.59166664,0.5625,0,0,0,0,1
174,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,5,5,5,1,1,4,5,5,3,1,1,0,0,0,Female,28,10,5,5,2,4,10,3,4,1,0.73333335,0.61250001,0.25,0,0,0,1
175,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,1,5,5,4,4,3,4,3,1,0,0,0,0,Male,47,13,5,1,2,1,13,1,4,0.75,0.85000002,0.61250001,0,0,0,0,1
176,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,4,1,3,5,4,1,3,2,1,1,0,0,0,0,Female,19,13,0,1,1,1,13,1,1,0.64999998,0.75,0.51249999,0,1,0,0,0
177,Between 1 Hour and 3 Hours,"3, 4, 5",0,0,1,1,1,0,between 3000-5000 friends,"1, 2",2,4,5,4,5,3,5,3,3,3,1,1,0,0,0,0,Male,23,10,4,2,1,1,10,1,1,0.82499999,0.74166667,0.61250001,0,1,0,0,0
178,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 2, 3",3,3,1,1,5,1,1,4,4,1,2,1,0,0,0,0,Female,21,2,4,4,2,3,2,2,1,0.53750002,0.44583336,0.36250001,0,1,0,0,0
179,Less than 1 Hour,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,under 300 friends,4,1,5,5,4,5,4,4,1,4,4,1,1,0,0,0,0,Female,43,10,4,2,1,1,10,1,1,0.76249999,0.85416669,0.66250002,0,1,0,0,0
180,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,3,1,4,4,4,4,1,5,1,4,1,1,1,0,0,0,1,Female,23,10,4,7,3,3,10,1,1,0.66250002,0.55416667,0.5625,0.25,1,0,0,0
181,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 300-1000 friends,"1, 2, 3, 4",4,5,3,3,4,4,2,3,4,1,1,1,0,0,1,0,Female,18,10,3,1,1,1,10,1,4,0.75,0.85000002,0.41249999,0.25,0,0,0,1
182,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,5,5,5,5,4,5,3,3,3,2,1,0,0,0,0,Female,61,9,3,2,1,3,10,1,2,0.8125,0.87083334,0.61250001,0,0,1,0,0
183,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"3, 4",2,3,5,5,3,5,5,2,3,1,2,1,0,0,0,0,Female,24,8,4,2,2,3,8,1,1,0.77499998,0.79166669,0.51249999,0,1,0,0,0
184,More than 3 Hours,"1, 2, 3, 5, 6",1,1,1,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,3,4,5,3,4,4,4,1,1,1,1,0,1,Male,21,10,3,1,2,1,10,1,1,0.85000002,0.88333333,0.61250001,0.75,1,0,0,0
185,More than 3 Hours,6,0,0,0,0,0,1,under 300 friends,4,1,4,4,1,4,5,5,3,4,4,1,1,0,1,0,0,Female,23,10,0,1,1,3,10,1,1,0.51249999,0.77083331,0.71249998,0.25,1,0,0,0
186,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"1, 2",2,3,4,1,3,3,1,1,3,1,2,1,0,0,0,0,Female,22,7,0,7,1,3,7,2,1,0.52499998,0.57499999,0.3125,0,1,0,0,0
187,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,4,2,5,4,5,3,5,3,2,1,1,0,0,1,Female,23,8,4,1,1,1,10,1,1,0.80000001,0.73333335,0.71249998,0.5,1,0,0,0
188,Less than 1 Hour,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,2,1,4,5,4,5,4,4,4,5,5,1,1,0,0,0,0,Female,57,13,6,5,2,1,13,1,1,0.76249999,0.78750002,0.76249999,0,1,0,0,0
189,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3",3,1,2,4,4,3,5,2,4,1,2,1,0,0,0,0,Male,17,10,3,1,1,3,10,1,1,0.6875,0.49583334,0.5625,0,1,0,0,0
190,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,2,1,3,4,4,5,4,3,3,3,2,1,1,1,1,0,1,Female,24,13,5,1,2,1,13,1,1,0.71249998,0.70416665,0.46250001,0.75,1,0,0,0
191,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"2, 4",2,5,5,1,4,5,1,1,3,1,1,1,0,0,1,0,Male,36,9,4,5,2,3,7,2,3,0.625,0.875,0.3125,0.25,0,0,1,0
192,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 300-1000 friends,"2, 3, 4",3,4,5,3,4,5,5,3,3,3,1,1,1,0,0,0,Female,20,10,0,1,2,4,10,3,1,0.78750002,0.86250001,0.61250001,0.25,1,0,0,0
193,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,3,1,4,4,2,4,5,4,1,2,1,1,1,0,0,0,0,Female,28,10,5,5,2,4,10,,1,0.5625,0.78750002,0.41249999,0,1,0,0,0
194,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,5,4,5,5,5,5,5,1,1,1,1,1,1,1,Female,25,8,4,1,1,3,8,1,1,0.94999999,0.85000002,0.61250001,1,1,0,0,0
195,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,Female,31,11,4,7,2,4,11,3,1,0.9375,0.91250002,0.8125,1,1,0,0,0
196,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 3000-5000 friends,"2, 3, 4",3,4,4,1,4,4,4,5,5,5,1,1,1,0,0,0,Female,27,8,5,5,2,4,8,3,1,0.63749999,0.74583334,0.76249999,0.25,1,0,0,0
197,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"2, 3",2,3,1,1,1,5,5,1,3,1,1,1,0,0,0,0,Male,21,13,0,1,1,1,13,1,1,0.27500001,0.625,0.51249999,0,1,0,0,0
198,More than 3 Hours,1,1,0,0,0,0,0,under 300 friends,2,1,4,5,4,5,5,5,5,5,3,1,1,0,0,0,0,Female,29,10,0,5,2,3,10,1,1,0.76249999,0.85416669,0.71249998,0,1,0,0,0
199,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,2,1,5,4,1,5,4,3,1,1,1,"4, 2",2,0,0,0,1,Female,20,13,4,1,1,1,13,1,1,0.5625,0.78750002,0.375,0.25,1,0,0,0
200,More than 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 1000-3000 friends,"2, 3",2,4,5,2,5,5,4,4,3,3,1,1,1,0,0,0,Female,23,10,4,1,2,1,10,1,1,0.72500002,0.8416667,0.5625,0.25,1,0,0,0
201,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,"2, 3",2,5,5,5,5,5,4,4,5,5,3,1,0,0,0,1,Female,39,10,4,5,1,1,10,1,3,0.875,0.95833331,0.76249999,0.25,0,0,1,0
202,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2, 3",3,4,2,1,5,2,1,2,2,1,2,1,0,0,0,0,Female,50,7,5,7,5,1,13,1,4,0.58749998,0.5958333,0.26249999,0,0,0,0,1
